Sample	Baltimore_group	genome_type
Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_1	III	dsRNA
Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_3	III	dsRNA
Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_4	III	dsRNA
Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_5	III	dsRNA
Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_7	III	dsRNA
Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey_9	III	dsRNA
Equid_alphaherpesvirus_1	I	dsDNA
Equine_arteritis_virus	IV	(+)ssRNA
Feline_calicivirus_NC_075569_1	IV	(+)ssRNA
Feline_infectious_peritonitis_virus	IV	(+)ssRNA
Foot_and_mouth_disease_virus_O	IV	(+)ssRNA
Foveavirus_mali	IV	(+)ssRNA
GB_virus_C	IV	(+)ssRNA
Gallid_alphaherpesvirus_1_Composite_of_6_strains	I	dsDNA
Gallid_alphaherpesvirus_2	I	dsDNA
Grapevine_Pinot_gris_virus	IV	(+)ssRNA
Grapevine_leafroll_associated_virus_3	IV	(+)ssRNA
Grapevine_rupestris_stem_pitting_associated_virus	IV	(+)ssRNA
Hepatitis_B_virus	VII	dsDNA-RT
Hepatitis_C_virus_genotype_1	IV	(+)ssRNA
Hepatitis_C_virus_genotype_3	IV	(+)ssRNA
Hepatitis_C_virus_genotype_6	IV	(+)ssRNA
Hepatitis_E_virus	IV	(+)ssRNA
Hepatitis_delta_virus_NC_001653_2	V	(-)ssRNA
Hepatovirus_A	IV	(+)ssRNA
Hop_stunt_viroid	NA	viroid (no Baltimore class)
Human_T_cell_leukemia_virus_type_I	VI	ssRNA-RT
Human_adenovirus_1	I	dsDNA
Human_alphaherpesvirus_1	I	dsDNA
Human_alphaherpesvirus_2	I	dsDNA
Human_alphaherpesvirus_3	I	dsDNA
Human_betaherpesvirus_5	I	dsDNA
Human_bocavirus_3	II	ssDNA
Human_coronavirus_229E	IV	(+)ssRNA
Human_coronavirus_NL63	IV	(+)ssRNA
Human_coronavirus_OC43	IV	(+)ssRNA
Human_gammaherpesvirus_4	I	dsDNA
Human_gammaherpesvirus_8	I	dsDNA
Human_immunodeficiency_virus_1	VI	ssRNA-RT
Human_immunodeficiency_virus_2	VI	ssRNA-RT
Human_mastadenovirus_B_Human_adenovirus_11	I	dsDNA
Human_mastadenovirus_D_Human_adenovirus_type_17	I	dsDNA
Human_mastadenovirus_E	I	dsDNA
Human_mastadenovirus_F	I	dsDNA
Human_metapneumovirus	V	(-)ssRNA
Human_orthopneumovirus_B1	V	(-)ssRNA
Human_papillomavirus_16	I	dsDNA
Human_papillomavirus_type_53	I	dsDNA
Human_papillomavirus_type_6b	I	dsDNA
Human_parvovirus_B19	II	ssDNA
Human_respirovirus_1	V	(-)ssRNA
Human_respirovirus_3_Guangzhou	V	(-)ssRNA
Human_rhinovirus_NAT001	IV	(+)ssRNA
Infectious_bronchitis_virus_Ind_TN92_03	IV	(+)ssRNA
Infectious_bursal_disease_virus_1977_from_Schobries_et_al_1977_A	III	dsRNA
Infectious_bursal_disease_virus_1977_from_Schobries_et_al_1977_B	III	dsRNA
Infectious_pancreatic_necrosis_virus_A	III	dsRNA
Infectious_pancreatic_necrosis_virus_B	III	dsRNA
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2_4	V	(-)ssRNA
Influenza_A_virus_A_Korea_426_1968_H2N2_6	V	(-)ssRNA
Influenza_A_virus_A_New_York_392_2004_H3N2_4	V	(-)ssRNA
Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1_4	V	(-)ssRNA
Influenza_A_virus_A_Shanghai_02_2013_H7N9_4	V	(-)ssRNA
Influenza_A_virus_A_Shanghai_02_2013_H7N9_6	V	(-)ssRNA
Influenza_A_virus_A_Shanghai_02_2013_H7N9_7	V	(-)ssRNA
Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_4	V	(-)ssRNA
Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_6	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_1	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_2	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_3	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_4	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_5	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_6	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_7	V	(-)ssRNA
Influenza_B_virus_B_Lee_1940_8	V	(-)ssRNA
Influenza_C_virus_C_Ann_Arbor_1_50_1	V	(-)ssRNA
Influenza_C_virus_C_Ann_Arbor_1_50_2	V	(-)ssRNA
Influenza_C_virus_C_Ann_Arbor_1_50_3	V	(-)ssRNA
Influenza_C_virus_C_Ann_Arbor_1_50_4	V	(-)ssRNA
Influenza_C_virus_C_Ann_Arbor_1_50_5	V	(-)ssRNA
Influenza_C_virus_C_Ann_Arbor_1_50_6	V	(-)ssRNA
Influenza_C_virus_C_Ann_Arbor_1_50_7	V	(-)ssRNA
Influenza_D_virus_D_swine_Oklahoma_1334_2011_1	V	(-)ssRNA
Influenza_D_virus_D_swine_Oklahoma_1334_2011_2	V	(-)ssRNA
Influenza_D_virus_D_swine_Oklahoma_1334_2011_3	V	(-)ssRNA
Influenza_D_virus_D_swine_Oklahoma_1334_2011_4	V	(-)ssRNA
Influenza_D_virus_D_swine_Oklahoma_1334_2011_5	V	(-)ssRNA
Influenza_D_virus_D_swine_Oklahoma_1334_2011_6	V	(-)ssRNA
Influenza_D_virus_D_swine_Oklahoma_1334_2011_7	V	(-)ssRNA
Isavirus_salaris_3	V	(-)ssRNA
Isavirus_salaris_4	V	(-)ssRNA
Isavirus_salaris_5	V	(-)ssRNA
Isavirus_salaris_6	V	(-)ssRNA
JC_polyomavirus	I	dsDNA
Japanese_encephalitis_virus	IV	(+)ssRNA
Lelystad_virus	IV	(+)ssRNA
Lumpy_skin_disease_virus_NI_2490	I	dsDNA
Lyssavirus_rabies	V	(-)ssRNA
Maize_streak_virus_A_South_Africa	II	ssDNA
Mamastrovirus_1	IV	(+)ssRNA
Mammalian_orthoreovirus_3_Dearing_L1	III	dsRNA
Mammalian_orthoreovirus_3_Dearing_L2	III	dsRNA
Mammalian_orthoreovirus_3_Dearing_L3	III	dsRNA
Mammalian_orthoreovirus_3_Dearing_M3	III	dsRNA
Mammalian_orthoreovirus_3_Dearing_S1	III	dsRNA
Mammalian_orthoreovirus_3_Dearing_S2	III	dsRNA
Mammalian_orthoreovirus_3_Dearing_S3	III	dsRNA
Mammalian_orthoreovirus_3_Dearing_S4	III	dsRNA
Mammalian_orthoreovirus_3_M1	III	dsRNA
Mammalian_orthoreovirus_3_M2	III	dsRNA
Mammarenavirus_lassaense_L	V	(-)ssRNA
Measles_morbillivirus	V	(-)ssRNA
Mogiana_tick_virus_MGTV_V4_11_1	IV	(+)ssRNA
Mogiana_tick_virus_MGTV_V4_11_2	IV	(+)ssRNA
Mogiana_tick_virus_MGTV_V4_11_3	IV	(+)ssRNA
Mogiana_tick_virus_SY84_4	IV	(+)ssRNA
Monkeypox_virus_IIb	I	dsDNA
Mumps_orthorubulavirus	V	(-)ssRNA
Norovirus_GII_17	IV	(+)ssRNA
Norovirus_GII_Hu_JP_2007_GII_P15_GII_15_Sapporo_HK299	IV	(+)ssRNA
Norovirus_GI_Hu_BD_2011_GI_7_PNA2_Dhaka1882	IV	(+)ssRNA
Norovirus_GI_Hu_JP_1998_GI_6_PNA4_No20_Saitama_98_17	IV	(+)ssRNA
Norovirus_GV	IV	(+)ssRNA
Orbivirus_alphaequi_10	III	dsRNA
Orbivirus_alphaequi_1	III	dsRNA
Orbivirus_alphaequi_3	III	dsRNA
Orbivirus_alphaequi_4	III	dsRNA
Orbivirus_alphaequi_5	III	dsRNA
Orbivirus_alphaequi_7	III	dsRNA
Orbivirus_alphaequi_8	III	dsRNA
Oropouche_virus_L	V	(-)ssRNA
Oropouche_virus_M	V	(-)ssRNA
Oropouche_virus_S	V	(-)ssRNA
Orthohantavirus_hantanense_L	V	(-)ssRNA
Orthohantavirus_hantanense_NC_005218_1	V	(-)ssRNA
Orthohantavirus_seoulense_L	V	(-)ssRNA
Orthohantavirus_seoulense_M	V	(-)ssRNA
Orthohantavirus_seoulense_S	V	(-)ssRNA
Orthonairovirus_haemorrhagiae_L	V	(-)ssRNA
Orthonairovirus_haemorrhagiae_M	V	(-)ssRNA
Orthonairovirus_haemorrhagiae_S	V	(-)ssRNA
Orthopoxvirus_vaccinia	I	dsDNA
Orthotospovirus_tomatomaculae_L	V	(-)ssRNA
Orthotospovirus_tomatomaculae_M	V	(-)ssRNA
Orthotospovirus_tomatomaculae_S	V	(-)ssRNA
Papaya_ringspot_virus	IV	(+)ssRNA
Parechovirus_A	IV	(+)ssRNA
Paslahepevirus_balayani_NC_074955_1	IV	(+)ssRNA
Peach_latent_mosaic_viroid	NA	viroid (no Baltimore class)
Pepino_mosaic_virus	IV	(+)ssRNA
Peste_des_petits_ruminants_virus	V	(-)ssRNA
Piscine_orthoreovirus_L1	III	dsRNA
Piscine_orthoreovirus_L2	III	dsRNA
Piscine_orthoreovirus_L3	III	dsRNA
Piscine_orthoreovirus_M1	III	dsRNA
Piscine_orthoreovirus_M2	III	dsRNA
Piscine_orthoreovirus_M3	III	dsRNA
Piscine_orthoreovirus_S1	III	dsRNA
Piscine_orthoreovirus_S2	III	dsRNA
Piscine_orthoreovirus_S3	III	dsRNA
Piscine_orthoreovirus_S4	III	dsRNA
Plum_pox_virus	IV	(+)ssRNA
Porcine_circovirus_2_AUT1	II	ssDNA
Porcine_circovirus_3	II	ssDNA
Porcine_epidemic_diarrhea_virus	IV	(+)ssRNA
Porcine_kobuvirus_swine_S_1_HUN_2007_Hungary	IV	(+)ssRNA
Porcine_reproductive_and_respiratory_syndrome_virus_2	IV	(+)ssRNA
Potato_spindle_tuber_viroid	NA	viroid (no Baltimore class)
Potato_virus_Y	IV	(+)ssRNA
Rabbit_hemorrhagic_disease_virus	IV	(+)ssRNA
Rice_black_streaked_dwarf_virus_10	III	dsRNA
Rice_black_streaked_dwarf_virus_1	III	dsRNA
Rice_black_streaked_dwarf_virus_5	III	dsRNA
Rice_black_streaked_dwarf_virus_8	III	dsRNA
Rice_yellow_mottle_virus	IV	(+)ssRNA
Rift_Valley_fever_virus_L	V	(-)ssRNA
Rift_Valley_fever_virus_M	V	(-)ssRNA
Rift_Valley_fever_virus_S	V	(-)ssRNA
Rotavirus_A_10	III	dsRNA
Rotavirus_A_11	III	dsRNA
Rotavirus_A_1	III	dsRNA
Rotavirus_A_2	III	dsRNA
Rotavirus_A_3	III	dsRNA
Rotavirus_A_4	III	dsRNA
Rotavirus_A_6	III	dsRNA
Rotavirus_A_7	III	dsRNA
Rotavirus_A_8	III	dsRNA
Rotavirus_A_9	III	dsRNA
Rotavirus_C_1	III	dsRNA
Rotavirus_C_2	III	dsRNA
Rotavirus_C_4	III	dsRNA
Rotavirus_C_5	III	dsRNA
Rotavirus_C_6	III	dsRNA
Rotavirus_C_8	III	dsRNA
Rotavirus_C_9	III	dsRNA
Rubella_virus_RVi_Bismarck_ND_USA_23_08_2B	IV	(+)ssRNA
SFTS_virus_HB29_M	V	(-)ssRNA
SFTS_virus_HB29_S	V	(-)ssRNA
Sapovirus_Hu_Dresden_pJG_Sap01_DE	IV	(+)ssRNA
Sapovirus_Mc10	IV	(+)ssRNA
Severe_fever_with_thrombocytopenia_syndrome_virus_L	V	(-)ssRNA
Severe_fever_with_thrombocytopenia_syndrome_virus_S	V	(-)ssRNA
Sugarcane_mosaic_virus	IV	(+)ssRNA
Suid_alphaherpesvirus_1_Kaplan	I	dsDNA
Tick_borne_encephalitis_virus	IV	(+)ssRNA
Tomato_leaf_curl_New_Delhi_virus_DNA_A	II	ssDNA
Tomato_yellow_leaf_curl_virus	II	ssDNA
Torque_teno_virus_TTV_HD14a_gbDhDi33_32	II	ssDNA
Trichovirus_mali	IV	(+)ssRNA
Turnip_mosaic_virus	IV	(+)ssRNA
Usutu_virus	IV	(+)ssRNA
Varroa_destructor_virus_1	IV	(+)ssRNA
Viral_hemorrhagic_septicemia_virus_Fil3	V	(-)ssRNA
Watermelon_mosaic_virus	IV	(+)ssRNA
West_Nile_virus_956	IV	(+)ssRNA
Yellow_fever_virus	IV	(+)ssRNA
Zaire_ebolavirus	V	(-)ssRNA
Zika_virus_MR_766	IV	(+)ssRNA
Zucchini_yellow_mosaic_virus	IV	(+)ssRNA
adeno_associated_virus_2	II	ssDNA
canine_distemper_virus	V	(-)ssRNA
dengue_virus_type_1	IV	(+)ssRNA
dengue_virus_type_2	IV	(+)ssRNA
dengue_virus_type_3	IV	(+)ssRNA
dengue_virus_type_4	IV	(+)ssRNA
enterovirus_A114	IV	(+)ssRNA
enterovirus_D68	IV	(+)ssRNA
human_papillomavirus_18	I	dsDNA
rhinovirus_A1	IV	(+)ssRNA
rhinovirus_B3	IV	(+)ssRNA
